"fips"	"pop"	"unemp"
12099	626400	11.7
12101	197089	12.5
12103	456433	11.2
12105	274250	12.7
12107	33400	12.2
12109	92423	9
12111	124102	15.3
12113	69478	9.4
12115	165040	12.3
12117	240803	10.6
12119	32604	9
12121	18101	9.8
12123	9390	10.4
12125	5364	8.4
12127	253582	11.7
12129	15312	7.2
12131	32890	6.8
12133	10204	9.6
13001	9685	9.7
13003	3354	12.6
13005	4879	8.5
13007	1620	9.1
13009	20379	11.6
13011	11108	6.7
13013	33221	11.1
13015	45821	13.3
13017	7434	15.3
13019	8203	12.4
13021	73133	10
13023	5346	9.7
13025	7806	11.6
13027	8313	8.7
13029	16346	8.1
13031	33125	9
13033	9963	12.2
13035	10037	12.7
13037	2394	11.1
13039	20949	9.1
13043	4279	9.3
13045	51718	10.8
13047	34919	8
13049	4620	10.6
13051	131304	8.5
13053	1711	14.6
13055	10575	11.4
13057	106406	9.5
13059	65461	7
13061	1432	8.2
13063	133339	12.3
13065	2768	11
13067	367817	9.6
13069	17140	16.8
13071	20566	9
13073	58884	7
13075	7236	11.9
13077	58018	10
13079	6072	9.5
13081	9947	12.1
13083	8342	9
13085	10834	10.1
13087	12032	12.7
13089	382207	10.7
13091	9255	11.2
13093	4730	10.1
13095	41764	11.1
13097	63563	11.4
13099	5536	10.5
13101	2205	6.7
13103	28012	7.9
13105	9870	12.2
13107	10979	10.3
13109	4827	8.9
13111	10943	10
13113	51201	8.4
13115	48936	11.1
13117	81190	8.6
13119	10383	11.8
13121	474723	10.7
13123	13936	9.8
13125	1111	11.1
13127	40889	8.2
13129	25467	13.1
13131	11782	9.8
13133	7829	11.1
13135	406709	9.4
13137	20468	9.4
13139	90062	9.1
13141	3381	17.7
13143	12603	11.3
13145	15809	7.2
13147	10571	13.8
13149	4841	12.4
13151	94257	10.4
13153	67779	7.3
13155	4057	14.5
13157	27385	10.9
13159	6391	12.7
13161	5174	13.5
13163	7191	14.9
13165	2610	19.6
13167	3718	11.9
13169	13858	8.6
13171	8094	15.3
13173	4018	8.4
13175	22266	10.8
13177	17325	7.9
13179	25414	8.5
13181	3845	10.3
13183	6132	5.9
13185	53092	8.2
13187	13275	11.1
13189	10729	12.1
13191	5475	9.6
13193	5112	13
13195	16336	8.3
13197	3326	9.9
13199	9457	13.2
13201	3637	8.7
13205	10522	10.4
13207	13625	10.2
13209	4513	8.5
13211	9561	9.8
13213	19354	12.3
13215	84642	9.2
13217	45842	12.6
13219	18335	6.2
13221	7963	8.2
13223	64564	10.7
13225	12057	10.2
13227	14888	10.8
13229	8590	9.3
13231	7982	11.8
13233	21359	10.8
13235	4407	7.1
13237	10353	10.4
13239	1045	11.8
13241	6888	10.4
13243	2706	13
13245	90320	10.3
13247	39671	12
13249	1849	13.8
13251	7444	13.7
13253	4104	10.7
13255	28726	15.4
13257	13976	10.7
13259	2314	10.7
13261	14673	12.9
13263	3130	9.8
13265	879	12.4
13267	9183	8.7
13269	3560	13
13271	4530	16.2
13273	4411	11.6
13275	21462	9.3
13277	18791	10.6
13279	13794	9.8
13281	6073	7.8
13283	2879	11.9
13285	30310	12.9
13287	4971	13
13289	4682	11.4
13291	11386	9
13293	11905	13.3
13295	32876	9.6
13297	40112	11
13299	15255	10.7
13301	2583	18.8
13303	8062	14
13305	12333	11.7
13307	1367	9.1
13309	2947	9.1
13311	12640	9.5
13313	43296	12.5
13315	3256	11.6
13317	4475	11.7
13319	4736	10.7
13321	10118	10.8
15001	85683	10.8
15003	447476	6.3
15007	32595	9.6
15009	77974	9.7
16001	191856	9.1
16003	2148	12.1
16005	40148	8.4
16007	3401	5.2
16009	3972	12.1
16011	22261	5.9
16013	13177	7.7
16015	3385	7.1
16017	20777	9.5
16019	50843	5.9
16021	4425	12
16023	1498	4.5
16025	616	11
16027	81678	10.6
16029	3654	6
16031	10279	5.9
16033	567	4.1
16035	3437	11.8
16037	2966	3.9
16039	11305	7.7
16041	5827	4
16043	5571	6.6
16045	6935	10.4
16047	8401	5.5
16049	7449	8.3
16051	11330	6.8
16053	10135	5.9
16055	71316	8.7
16057	17769	5.9
16059	4023	6.5
16061	1780	5.2
16063	2644	9.7
16065	15865	5.5
16067	9510	6
16069	19642	5.5
16071	2227	5
16073	4181	4.1
16075	10957	7.7
16077	3541	6.7
16079	6074	11.9
16081	5169	5.1
16083	39325	6.8
16085	4852	11.4
16087	4969	8.4
17001	37728	7.9
17003	3393	11.2
17005	8581	9.3
17007	26719	13.8
17009	3580	4.5
17011	19252	10.9
17013	2567	9.5
17015	7991	10.5
17017	7453	7.3
17019	107182	8.2
17021	17809	9.9
17023	8177	13.1
17025	6569	11.4
17027	18733	7.9
17029	27569	9.1
17031	2603121	10.6
17033	9981	10.5
17035	5722	9.7
17037	57656	9.2
17039	8385	9.2
17041	10044	9.1
17043	523582	8.6
17045	9940	10.7
17047	3112	9.1
17049	18202	7.9
17051	9554	11.6
17053	7620	10.4
17055	17436	14.6
17057	18576	12.5
17059	2637	11
17061	6676	9.2
17063	25744	11.4
17065	4046	9.3
17067	9538	11.3
17069	1756	12.8
17071	3771	9.4
17073	27722	8.6
17075	15892	10
17077	32338	7.3
17079	5068	9.5
17081	20343	10
17083	11526	8.8
17085	12815	8.1
17087	4998	10.4
17089	264155	9.9
17091	55192	12.8
17093	55864	10.4
17095	25538	10.3
17097	366796	10
17099	58747	12.4
17101	7773	10.3
17103	17914	10.9
17105	18833	10.7
17107	13237	9.5
17109	17503	7.7
17111	177305	9.3
17113	90939	7.4
17115	54489	12.4
17117	24416	10.5
17119	138351	9.7
17121	18246	11.9
17123	7454	10.6
17125	7270	14.3
17127	7209	8
17129	6937	7.8
17131	8924	8.9
17133	18088	7.8
17135	13474	12.2
17137	17239	8.4
17139	8044	9
17141	27937	11.9
17143	100059	11.6
17145	9308	11.9
17147	9306	8.2
17149	8197	8.1
17151	1870	10.6
17153	2905	11.9
17155	3315	15
17157	14945	9.4
17159	7320	10.5
17161	81013	9.5
17163	123797	10.8
17165	12425	11.2
17167	107406	7.9
17169	4240	6.6
17171	2625	7.5
17173	10862	10
17175	2998	9.8
17177	24989	11.6
17179	75461	11.3
17181	8292	10.8
17183	37624	12
17185	6197	10.3
17187	9013	8
17189	7993	8
17191	7940	9.7
17193	7683	8.6
17195	30120	10.6
17197	358961	9.9
17199	34527	9.6
17201	152926	15.5
17203	21565	8.6
18001	14713	13.4
18003	176528	9.3
18005	39662	8.8
18007	4300	9
18009	6043	13.3
18011	27540	6.8
18013	7510	7.8
18015	9978	9.9
18017	17837	10.5
18019	54239	8.2
18021	12383	9.6
18023	16904	9.2
18025	5171	10.5
18027	14419	4.9
18029	25616	8.9
18031	12251	11
18033	20119	12.4
18035	52837	9.5
18037	21985	8
18039	93558	15
18041	9690	13.4
18043	37054	7.4
18045	8470	11.6
18047	11510	8.9
18049	9950	11.2
18051	16270	6.7
18053	29746	11.1
18055	14866	7.1
18057	138384	6.1
18059	35566	7.8
18061	18976	7.8
18063	71524	6.8
18065	22332	12
18067	35401	11.9
18069	19698	11.1
18071	21960	10.1
18073	15426	8.7
18075	11404	10.4
18077	16686	9.5
18079	13510	12.2
18081	72558	7.4
18083	18208	6.6
18085	40390	11
18087	15838	14
18089	225605	9.4
18091	52442	10.7
18093	21105	11.1
18095	59977	9.7
18097	456290	8.4
18099	22531	11.4
18101	4852	6.3
18103	15847	12.3
18105	64449	5.6
18107	18321	9.7
18109	36294	7.5
18111	6907	8.9
18113	22082	14.5
18115	3028	10.5
18117	10258	9.2
18119	10661	8.1
18121	7728	8.3
18123	9941	8.8
18125	5932	8.7
18127	82930	8.2
18129	13059	7
18131	6308	9.5
18133	17182	8.2
18135	12429	10.2
18137	13607	9.1
18139	8667	9.5
18141	128630	10.4
18143	10942	12.1
18145	23531	8.8
18147	10319	8.1
18149	10408	12.6
18151	15695	12.9
18153	8566	9.3
18155	5364	7
18157	80787	8.5
18159	7195	10.3
18161	3439	8.6
18163	88760	7.4
18165	7697	10.8
18167	48202	9.2
18169	15804	12
18171	4675	10.1
18173	29891	6.9
18175	14112	11.2
18177	32388	10.9
18179	14395	9.1
18181	12895	9.4
18183	17826	11.6
19001	4310	5.1
19003	2150	6
19005	7541	9.3
19007	6458	9.4
19009	3227	5.1
19011	14689	5.8
19013	74456	5.8
19015	16011	5.9
19017	14130	5
19019	11425	5.9
19021	10562	5.5
19023	8498	6
19025	5285	5.4
19027	12414	4.2
19029	7738	5.8
19031	11356	5.7
19033	25912	6.7
19035	6568	4.4
19037	6883	8.4
19039	4938	7.4
19041	9997	6.2
19043	10078	7.9
19045	27886	7.7
19047	9217	4.7
19049	33451	5.1
19051	4163	10.1
19053	4335	6.6
19055	10587	6.8
19057	20496	8.2
19059	9495	5.8
19061	52618	6
19063	5861	8.6
19065	10835	8.5
19067	8444	8.7
19069	5713	7
19071	3719	7
19073	5075	6.3
19075	6945	4.9
19077	5991	5.6
19079	8680	8.1
19081	6029	9
19083	9821	6
19085	7869	4.4
19087	10240	8.8
19089	4783	8.6
19091	4908	6.2
19093	4295	5.8
19095	8749	5.8
19097	11434	7.7
19099	17773	8.1
19101	8459	8.7
19103	81141	4.4
19105	10791	6.3
19107	5768	7.1
19109	8827	5.6
19111	17872	11.4
19113	122807	6.5
19115	6341	8
19117	4769	6
19119	6893	4.3
19121	8456	5.8
19123	11679	7.7
19125	17574	5.7
19127	20467	7
19129	8214	4.3
19131	5591	5.4
19133	4687	7.1
19135	4422	7.5
19137	5450	8.7
19139	23945	8.9
19141	7496	5.3
19143	3496	5.4
19145	7704	8.7
19147	5364	7
19149	13966	4.7
19151	4790	5.2
19153	245419	6.2
19155	48834	4.8
19157	9671	6.6
19159	2437	5.3
19161	5815	4.7
19163	92707	7.3
19165	7343	3.9
19167	19217	4.1
19169	50519	4.5
19171	8633	6.6
19173	3292	6.7
19175	6848	6
19177	3987	8
19179	20054	9.4
19181	26247	5.8
19183	12467	4.9
19185	3168	6.4
19187	19184	8.3
19189	5857	9.1
19191	11070	5.8
19193	56862	5.7
19195	4560	6.3
19197	6596	8.4
20001	7296	7.8
20003	4000	7.9
20005	9076	8.1
20007	2679	5.1
20009	15487	6.1
20011	8373	6.5
20013	5472	5.6
20015	33664	7.2
20017	1435	5.4
20019	1867	8.4
20021	11392	8.5
20023	1414	3.7
20025	1166	3.7
20027	4970	4.2
20029	5454	4.5
20031	4979	5.7
20033	960	3.8
20035	18142	7.6
20037	19092	8.1
20039	1795	3.3
20041	10560	5.1
20043	4870	8.8
20045	61014	5.4
20047	1688	4.4
20049	1135	11
20051	16961	3.6
20053	3808	4.1
20055	18278	4.3
20057	16035	3.8
20059	14268	7.1
20061	13934	6.9
20063	1376	3.5
20065	1528	4.3
20067	3964	4.2
20069	2729	3.4
20071	685	4.5
20073	3214	7.2
20075	1250	4.2
20077	3157	5.6
20079	18786	7.4
20081	2081	3.7
20083	859	4.2
20085	7140	6
20087	10001	6.7
20089	1850	4.9
20091	310731	6.8
20093	2134	4.5
20095	4405	6.3
20097	1374	4.9
20099	12219	7.8
20101	1004	3.4
20103	33895	7.3
20105	1843	6.3
20107	4905	8.4
20109	1486	4
20111	17898	5.7
20113	16759	5.1
20115	6240	6.3
20117	6037	4.9
20119	2289	4.2
20121	17013	6.8
20123	3574	5.8
20125	18831	9.4
20127	2933	6.8
20129	1637	4.7
20131	5582	4.3
20133	9340	7
20135	1769	4
20137	2760	4.7
20139	8861	7
20141	2166	4.4
20143	3192	6.5
20145	3777	3.7
20147	2732	6
20149	13270	4.1
20151	5567	5.3
20153	1304	3.5
20155	32337	6.3
20157	2960	4.1
20159	5573	5.1
20161	44960	3.2
20163	2592	7.3
20165	1584	5.9
20167	3600	4.6
20169	29497	5.7
20171	2693	3.2
20173	264663	8.8
20175	10809	5.1
20177	95197	6.4
20179	1482	3.2
20181	3843	3.9
20183	2027	4.3
20185	1984	6.1
20187	1092	3.4
20189	2095	5.3
20191	12481	9
20193	4067	3.6
20195	1826	3.6
20197	3845	6.6
20199	892	5.9
20201	3301	4.5
20203	1240	3.5
20205	5497	10.2
20207	1655	8.9
20209	74459	10.4
21001	8891	10.1
21003	8802	14.3
21005	11069	10.9
21007	4255	10.2
21009	19780	11.6
21011	5120	13.3
21013	9582	12.5
21015	62456	9.2
21017	9734	9.1
21019	23211	8.3
21021	12864	11
21023	4285	10.2
21025	5602	10
21027	9476	12.1
21029	39704	10.8
21031	5601	13.7
21033	6791	10.9
21035	17697	8
21037	45543	10.7
21039	2211	9.1
21041	5735	12.4
21043	13833	13.5
21045	7159	10.2
21047	30101	12.9
21049	17767	11.4
21051	6868	13.5
21053	4605	9
21055	4022	10.8
21057	2932	13
21059	48466	9.1
21061	5450	12.8
21063	3204	12.6
21065	6262	12.9
21067	150966	7.7
21069	6561	12.2
21071	15695	12.4
21073	24777	9.1
21075	2699	14.4
21077	3985	11.1
21079	7733	11.9
21081	12727	10.1
21083	15888	10.3
21085	11589	16.4
21087	5611	12.4
21089	18017	9.8
21091	4518	13.6
21093	48735	10
21095	10059	12.5
21097	9551	11.1
21099	8334	10.6
21101	23152	9.8
21103	7987	10.7
21105	2006	9.2
21107	22651	9.1
21109	4240	17.5
21111	363298	10.5
21113	22949	8.8
21115	9634	11.1
21117	84927	10
21119	6461	12
21121	12938	11.5
21123	7189	10.7
21125	26874	10.1
21127	5942	13.1
21129	2732	12.3
21131	3622	13.7
21133	8947	12
21135	5929	15.1
21137	10823	12.1
21139	4859	9.8
21141	12667	10.4
21143	3341	12.2
21145	31618	9.1
21147	5794	13.3
21149	4736	10.6
21151	42962	8.7
21153	4647	21.4
21155	10758	12.9
21157	14799	10.7
21159	3466	12.4
21161	9190	11.1
21163	12011	12.4
21165	2689	14.7
21167	10674	10.8
21169	4691	15.8
21171	4886	14
21173	12538	12.6
21175	5065	14.5
21177	13543	10.7
21179	21851	11.5
21181	3135	12.5
21183	12670	9.4
21185	27675	8.6
21187	5266	10.1
21189	1508	11.2
21191	7488	11.7
21193	11473	12.5
21195	26244	10.7
21197	5802	16.7
21199	27559	10
21201	971	9.6
21203	7482	12.8
21205	12453	8.6
21207	8425	10.8
21209	22548	9.1
21211	21589	9.6
21213	9673	11.8
21215	9002	10.2
21217	14079	10.2
21219	5370	12.6
21221	6676	16
21223	4407	10.7
21225	7741	10.8
21227	57770	9.2
21229	5558	12.7
21231	8757	13.6
21233	6533	8.8
21235	15489	11.4
21237	2308	13.9
21239	13341	8.3
22001	27248	7.1
22003	8944	10.1
22005	48919	6.7
22007	10535	8.8
22009	16480	8.1
22011	15015	8
22013	6271	10.5
22015	52449	6.4
22017	117946	7.9
22019	92165	7.2
22021	4785	10.7
22023	3525	5.6
22025	4366	10.3
22027	6728	10.3
22029	7899	11.3
22031	11378	9
22033	216456	6.8
22035	3074	14.2
22037	8094	8
22039	12754	8.6
22041	7989	11.3
22043	8946	8.2
22045	36155	7.6
22047	12518	10.4
22049	6773	7.8
22051	225260	6.5
22053	14978	6.4
22055	111155	5.9
22057	48568	4.9
22059	6612	7.3
22061	19697	7.8
22063	56076	7
22065	4744	9.3
22067	12122	15.1
22069	17544	8.4
22071	112898	10.7
22073	70282	7.6
22075	9110	6.2
22077	9562	7.9
22079	61110	6.9
22081	3462	9.6
22083	8980	10.7
22085	10032	8.1
22087	10298	10.5
22089	26674	6.5
22091	4292	11.8
22093	9345	10
22095	23029	8.4
22097	38544	8.3
22099	24111	7.5
22101	23831	8.6
22103	117315	5.2
22105	53606	8.1
22107	2091	13.5
22109	54583	5.2
22111	10520	12.2
22113	24972	7.2
22115	21534	6.7
22117	15795	9.6
22119	20462	9.1
22121	10689	7.4
22123	4488	17
22125	4783	8.2
22127	6796	9.1
23001	57551	8.4
23003	35157	9.3
23005	156856	6.5
23007	14029	11.2
23009	31504	6.8
23011	63143	7.3
23013	20400	7
23015	18267	6.3
23017	27553	10.9
23019	78274	8
23021	7465	11.6
23023	18416	6.7
23025	25041	10.7
23027	18904	7.8
23029	14433	10.4
23031	114062	7.4
24001	35360	7.5
24003	274347	6.5
24005	421367	7.7
24009	46453	5.9
24011	16088	8.8
24013	91735	6
24015	49117	8.6
24017	74014	5.9
24019	16641	10.9
24021	124672	5.9
24023	16351	6.9
24025	129382	7.1
24027	154940	5.4
24029	10656	7.1
24031	511897	5.3
24033	437693	7.3
24035	25517	6.6
24037	50172	5.6
24039	11167	9.5
24041	18662	6.8
24043	67925	9.4
24045	51856	7.7
24047	28500	7.5
24510	274763	10.6
25001	121685	8
25003	71746	8.4
25005	287158	11.8
25007	12099	5
25009	375753	10.1
25011	38662	8.7
25013	221960	10.5
25015	86427	7.3
25017	818003	8.1
25019	9372	5
25021	357332	8.5
25023	260676	9.7
25025	361350	9.3
25027	402864	10.1
26001	4384	16.7
26003	4249	12
26005	54344	13.2
26007	15067	13.9
26009	11977	14.7
26011	7883	15.8
26013	4498	24.3
26015	28725	10.5
26017	53598	12.3
26019	8817	12
26021	76954	13.5
26023	21821	14
26025	66597	12.4
26027	25498	11.4
26029	14041	13.9
26031	11698	8.6
26033	17395	11.6
26035	12955	16.8
26037	35872	9.4
26039	6254	13.7
26041	19650	11.5
26043	14116	12
26045	56590	10.3
26047	20046	12.2
26049	189658	15.8
26051	10518	16.5
26053	7372	13.3
26055	48825	12
26057	19018	13.7
26059	20911	17.2
26061	17029	10.2
26063	15650	14.8
26065	147911	11.6
26067	29152	13.4
26069	11101	16.4
26071	5669	11.7
26073	38654	8.5
26075	73828	14.9
26077	128413	11.2
26079	8756	14.3
26081	308580	11.7
26083	999	11.9
26085	3759	17.5
26087	42633	18.1
26089	11063	9
26091	47644	16.1
26093	89095	13.6
26095	2716	13.2
26097	6829	6.1
26099	409201	18.1
26101	11622	12.6
26103	35310	10.1
26105	14925	12.9
26107	19491	13
26109	13053	12.5
26111	42316	10.2
26113	6060	15
26115	74346	14.2
26117	25934	17.6
26119	4037	18.9
26121	87762	16
26123	21935	13.8
26125	597767	15.6
26127	14221	15.2
26129	9760	12.7
26131	3197	13.8
26133	9172	15.3
26135	4004	19.1
26137	11826	14.7
26139	128606	12.8
26141	6095	16
26143	10136	14.6
26145	90445	12.9
26147	81112	19
26149	30613	13.9
26151	20324	17.8
26153	3845	12.7
26155	34166	15.2
26157	26908	16.3
26159	38536	13.2
26161	175570	9.3
26163	870622	18.3
26165	14078	18.3
27001	7823	8.1
27003	191660	7.9
27005	16725	6.4
27007	21478	7.2
27009	22807	7
27011	2801	4.5
27013	37095	6.3
27015	15157	5.5
27017	17256	7.3
27019	49997	7
27021	15084	7.9
27023	7201	6.1
27025	27428	8.4
27027	32917	3.6
27029	4475	9.1
27031	3364	4.7
27033	6216	5.2
27035	34982	7.4
27037	230969	6.9
27039	11248	6.1
27041	21188	5.6
27043	8090	7.6
27045	10967	7
27047	17032	7.6
27049	25856	6.7
27051	3052	6.8
27053	661513	7.3
27055	11206	7.1
27057	9969	7.3
27059	21681	8.3
27061	22615	9.2
27063	6817	4.7
27065	7792	10.3
27067	24439	5.5
27069	2561	5.2
27071	6679	7.3
27073	4174	5.4
27075	6512	7.5
27077	2238	6.9
27079	14527	8.6
27081	3374	4.5
27083	14913	4.9
27085	22838	8
27087	2419	6
27089	5289	6.2
27091	11972	6.9
27093	13157	7.8
27095	12473	10.5
27097	18097	9
27099	21094	5.5
27101	5650	3.9
27103	19623	6.1
27105	11229	4.5
27107	3597	5.1
27109	81537	5.5
27111	30263	6.3
27113	9085	5.6
27115	14609	9.1
27117	5986	5.3
27119	16936	4.4
27121	6126	6.4
27123	273259	7.4
27125	2392	6.7
27127	8039	6.1
27129	9258	6.4
27131	33976	7.5
27133	5002	5.1
27135	9791	5
27137	104807	8.2
27139	73408	6.8
27141	49112	8.1
27143	9089	6.5
27145	82932	6.8
27147	21907	7.7
27149	5605	4.3
27151	5256	6.6
27153	12187	7.5
27155	1608	6.2
27157	12575	7.1
27159	6853	8.8
27161	11079	7
27163	128439	6.8
27165	5398	7.5
27167	3417	4.7
27169	30729	7
27171	66627	8.2
27173	6161	5.1
28001	13605	8
28003	15192	11.3
28005	5214	8.6
28007	7272	11.8
28009	2876	12.6
28011	14719	9
28013	5698	9.7
28015	4868	9.8
28017	6974	13.2
28019	3345	11.3
28021	3527	15
28023	7192	10
28025	7560	17.8
28027	9752	11.1
28029	11772	9.9
28031	8653	7.7
28033	73506	7.2
28035	34755	7.7
28037	3141	9
28039	8974	10
28041	4805	9.9
28043	8938	11
28045	17542	7.5
28047	82484	7.2
28049	113726	7.9
28051	7442	16.6
28053	4357	10.2
28055	673	9.2
28057	10109	9.6
