"name"	"country.etc"	"pop"	"lat"	"long"	"capital"
"'Omer"	"Israel"	6167	31.29	34.85	0
"'Umayriyah"	"Kuwait"	20799	29.29	47.91	0
"'Unayzah"	"Saudi Arabia"	135945	26.1	43.98	0
"'Urif"	"Palestine"	2837	32.16	35.22	0
"'Usayrah"	"Saudi Arabia"	7533	21.76	40.65	0
"'Uyun al-Jiwa'"	"Saudi Arabia"	6607	26.53	43.69	0
"A Coruna"	"Spain"	243088	43.33	-8.42	0
"A Estrada"	"Spain"	21997	42.7	-8.5	0
"A Laracha"	"Spain"	10856	43.25	-8.59	0
"A Pobra do Caraminal"	"Spain"	9955	42.61	-8.94	0
"A Ver-o-Mar"	"Portugal"	10971	41.4	-8.76	0
"A dos Cunhados"	"Portugal"	6508	39.15	-9.29	0
"A i Afjord"	"Norway"	1163	63.97	10.21	0
"A'zaz"	"Syria"	60737	36.59	37.06	0
"Aa en Hunze"	"Netherlands"	25005	53.05	6.7	0
"Aabenraa"	"Denmark"	16409	55.05	9.42	0
"Aabybro"	"Denmark"	4922	57.15	9.75	0
"Aachen"	"Germany"	273472	50.77	6.09	0
"Aadorf"	"Switzerland"	7720	47.49	8.9	0
"Aakirkeby"	"Denmark"	2227	55.07	14.93	0
"Aakre"	"Estonia"	294	58.1	26.19	0
"Aalborg"	"Denmark"	122794	57.03	9.93	0
"Aalburg"	"Netherlands"	12438	51.75	5.13	0
"Aalen"	"Germany"	67188	48.85	10.09	0
"Aalestrup"	"Denmark"	2784	56.7	9.5	0
"Aalsmeer"	"Netherlands"	23067	52.27	4.76	0
"Aalst"	"Belgium"	77876	50.93	4.03	0
"Aalten"	"Netherlands"	19283	51.94	6.57	0
"Aalter"	"Belgium"	18857	51.08	3.45	0
"Aanekoski"	"Finland"	13358	62.61	25.69	0
"Aappilattoq"	"Greenland"	189	60.17	-44.49	0
"Aappilattoq"	"Greenland"	213	72.88	-55.59	0
"Aarau"	"Switzerland"	15539	47.4	8.04	0
"Aarberg"	"Switzerland"	3911	47.05	7.28	0
"Aarburg"	"Switzerland"	6932	47.32	7.89	0
"Aardla"	"Estonia"	138	58.31	26.78	0
"Aarna"	"Estonia"	246	58.07	26.97	0
"Aars"	"Denmark"	7247	56.8	9.53	0
"Aarschot"	"Belgium"	27646	50.98	4.83	0
"Aartselaar"	"Belgium"	14130	51.13	4.38	0
"Aarup"	"Denmark"	2611	55.38	10.07	0
"Aarwangen"	"Switzerland"	4190	47.23	7.75	0
"Aasiaat"	"Greenland"	3100	68.71	-52.85	0
"Aasmae"	"Estonia"	636	59.24	24.51	0
"Aaspere"	"Estonia"	314	59.42	26.12	0
"Aaviku"	"Estonia"	95	59.34	24.91	0
"Aba"	"Hungary"	4476	47.03	18.53	0
"Aba"	"Nigeria"	931872	5.1	7.35	0
"Abadan"	"Iran"	415139	30.33	48.28	0
"Abadeh"	"Iran"	58138	31.18	52.67	0
"Abadszalok"	"Hungary"	4635	47.47	20.6	0
"Abaetetuba"	"Brazil"	79660	-1.72	-48.89	0
"Abai"	"Paraguay"	3134	-26.03	-55.94	0
"Abaji"	"Nigeria"	14792	8.54	6.89	0
"Abak"	"Nigeria"	12717	4.98	7.8	0
"Abakaliki"	"Nigeria"	137844	6.33	8.11	0
"Abakan"	"Russia"	168024	53.72	91.43	0
"Abalak"	"Niger"	13873	15.45	6.29	0
"Abana"	"Turkey"	4031	41.98	34.01	0
"Abancay"	"Peru"	56262	-13.64	-72.89	0
"Abano Terme"	"Italy"	19167	45.35	11.78	0
"Abanto Zierbena"	"Spain"	9505	43.32	-3.08	0
"Abaokoro"	"Kiribati"	753	-2.5	175.97	0
"Abapo"	"Bolivia"	2510	-18.83	-63.46	0
"Abaran"	"Spain"	12890	38.2	-1.4	0
"Abasar"	"Hungary"	3174	47.8	20	0
"Abasha"	"Georgia"	6161	42.21	42.21	0
"Abashiri"	"Japan"	42324	44.02	144.27	0
"Abasolo"	"Mexico"	26069	20.45	-101.52	0
"Abastumani"	"Georgia"	1272	41.7	42.85	0
"Abaujszanto"	"Hungary"	3352	48.28	21.18	0
"Abay"	"Kazakhstan"	34706	49.65	72.86	0
"Abaza"	"Russia"	18112	52.66	90.09	0
"Abbeville"	"France"	26656	50.12	1.83	0
"Abbeyfeale"	"Ireland"	1752	52.39	-9.3	0
"Abbeyleix"	"Ireland"	1732	52.9	-7.35	0
"Abbiategrasso"	"Italy"	30515	45.41	8.91	0
"Abbotsford"	"Canada"	157795	49.06	-122.3	0
"Abda"	"Hungary"	2995	47.7	17.55	0
"Abdanan"	"Iran"	18775	32.94	47.47	0
"Abdulino"	"Russia"	21087	53.7	53.67	0
"Abeche"	"Chad"	75855	13.84	20.83	0
"Abejorral"	"Colombia"	7395	5.8	-75.43	0
"Abengourou"	"Ivory Coast"	106996	6.73	-3.49	0
"Abeokuta"	"Nigeria"	612277	7.16	3.35	0
"Abercarn-Newbridge"	"UK"	10146	51.65	-3.14	0
"Aberdare"	"UK"	33048	51.72	-3.46	0
"Aberdeen"	"UK"	184031	57.15	-2.1	0
"Abergavenny"	"UK"	14251	51.83	-3.02	0
"Abergele"	"UK"	17819	53.28	-3.58	0
"Aberkenfig-Bryncoch"	"UK"	10111	51.54	-3.6	0
"Aberpura"	"Indonesia"	66257	-2.63	140.58	0
"Abertamy"	"Czech Republic"	1399	50.37	12.82	0
"Abertillery"	"UK"	11350	51.73	-3.13	0
"Aberystwyth"	"UK"	19081	52.42	-4.09	0
"Abha"	"Saudi Arabia"	220244	18.23	42.5	0
"Abhar"	"Iran"	72386	36.15	49.22	0
"Abhaynagar"	"Bangladesh"	43723	23.02	89.47	0
"Abidjan"	"Ivory Coast"	3796677	5.33	-4.03	0
"Abiko"	"Japan"	132577	35.88	140.03	0
"Abilene"	"USA"	113888	32.45	-99.74	0
"Abingdon"	"UK"	37442	51.68	-1.29	0
"Abinsk"	"Russia"	35000	44.87	38.16	0
"Abiy Adi"	"Ethiopia"	10626	13.44	39.08	0
"Abja-Paluoja"	"Estonia"	1362	58.13	25.35	0
"Abnub"	"Egypt"	70147	27.27	31.15	0
"Abo Homos"	"Egypt"	34791	31.1	30.31	0
"Abo Kabir"	"Egypt"	102437	30.73	31.67	0
"Abo Korkas"	"Egypt"	62495	27.93	30.82	0
"Abo Teeg"	"Egypt"	72583	27.05	31.31	0
"Abo el Matamer"	"Egypt"	42038	30.92	30.18	0
"Abocho"	"Nigeria"	6953	7.57	6.98	0
"Aboh"	"Nigeria"	9459	5.48	7.24	0
"Abohar"	"India"	132117	30.14	74.2	0
"Aboisso"	"Ivory Coast"	38731	5.47	-3.2	0
"Abomey"	"Benin"	83455	7.19	1.99	0
"Abomey-Calavi"	"Benin"	413812	6.44	2.36	0
"Abomsa"	"Ethiopia"	15716	9.99	39.98	0
"Abong Mbang"	"Cameroon"	15002	3.99	13.17	0
"Abonnema"	"Nigeria"	70293	4.69	6.79	0
"Abony"	"Hungary"	16489	47.19	20.01	0
"Aboso"	"Ghana"	9005	5.37	-1.93	0
"Abottabad"	"Pakistan"	131014	34.15	73.2	0
"Above Rocks"	"Jamaica"	4889	18.1	-76.88	0
"Abovyan"	"Armenia"	1373	40.05	44.55	0
"Abovyan"	"Armenia"	34762	40.27	44.62	0
"Abraka"	"Nigeria"	7080	5.78	6.1	0
"Abram"	"UK"	10121	53.52	-2.58	0
"Abrantes"	"Portugal"	13860	39.47	-8.19	0
"Abraq Hitan"	"Kuwait"	49242	29.29	47.98	0
"Abraveses"	"Portugal"	9684	40.67	-7.91	0
"Abrego"	"Colombia"	11026	8.08	-73.22	0
"Abrera"	"Spain"	9966	41.52	1.9	0
"Abreu e Lima"	"Brazil"	82765	-7.95	-34.88	0
"Abreus"	"Cuba"	16759	22.28	-80.57	0
"Abriaqui"	"Colombia"	1315	6.63	-76.06	0
"Abricots"	"Haiti"	1256	18.63	-74.3	0
"Abrud"	"Romania"	6086	46.28	23.06	0
"Absam"	"Austria"	6650	47.3	11.5	0
"Abtenau"	"Austria"	5865	47.55	13.35	0
"Abu 'Alanda"	"Jordan"	30818	31.9	35.97	0
"Abu 'Aris"	"Saudi Arabia"	50361	16.97	42.83	0
"Abu 'Usar"	"Sudan"	12287	14.92	33.18	0
"Abu Dhabi"	"United Arab Emirates"	619316	24.48	54.37	1
"Abu Dis"	"Palestine"	11515	31.76	35.27	0
"Abu Ghosh"	"Israel"	5923	31.8	35.1	0
"Abu Hammad"	"Egypt"	35835	30.53	31.68	0
"Abu Hijar"	"Sudan"	8799	12.87	34	0
"Abu Hulayfah"	"Kuwait"	30258	29.14	48.12	0
"Abu Jubayhah"	"Sudan"	22172	11.45	31.23	0
"Abu Kamal"	"Syria"	60505	34.45	40.93	0
"Abu Karsola"	"Sudan"	10671	12.15	30.77	0
"Abu Nahlah"	"Qatar"	2624	25.15	51.33	0
"Abu Samrah"	"Qatar"	967	24.75	50.84	0
"Abu Zabad"	"Sudan"	15600	12.35	29.24	0
"Abu al-Hasib"	"Iraq"	93746	30.45	47.98	0
"Abu al-Hassan"	"Algeria"	24930	36.42	1.18	0
"Abucay"	"Philippines"	36357	14.72	120.54	0
"Abuja"	"Nigeria"	178462	9.18	7.17	1
"Abuko"	"Gambia"	6794	13.4	-16.66	0
"Aburi"	"Ghana"	15171	5.85	-0.18	0
"Abuyog"	"Philippines"	15795	10.75	125.01	0
"Abweiler"	"Luxembourg"	75	49.53	6.08	0
"Abyek"	"Iran"	59115	36.05	50.53	0
"Acacias"	"Colombia"	41556	3.98	-73.76	0
"Acahay"	"Paraguay"	3218	-25.91	-57.11	0
"Acahualco"	"Mexico"	14263	19.28	-99.78	0
"Acailandia"	"Brazil"	93252	-5.06	-47.54	0
"Acajete"	"Mexico"	18360	19.1	-97.95	0
"Acajutla"	"El Salvador"	23125	13.59	-89.83	0
"Acala"	"Mexico"	13154	16.57	-92.8	0
"Acambaro"	"Mexico"	56361	20.03	-100.73	0
"Acanceh"	"Mexico"	10008	20.82	-89.45	0
"Acandi"	"Colombia"	4849	8.53	-77.23	0
"Acaponeta"	"Mexico"	18637	22.5	-105.36	0
"Acapulco"	"Mexico"	658347	16.85	-99.92	0
"Acarau"	"Brazil"	29169	-2.89	-40.12	0
"Acari"	"Peru"	4515	-15.43	-74.63	0
"Acarigua"	"Venezuela"	145549	9.58	-69.2	0
"Acatari"	"Romania"	4693	46.45	24.65	0
"Acatenango"	"Guatemala"	7571	14.55	-90.94	0
"Acatic"	"Mexico"	11694	20.78	-102.88	0
"Acatlan"	"Mexico"	16556	18.2	-98.05	0
"Acatlan"	"Mexico"	9466	20.43	-103.63	0
"Acatzingo"	"Mexico"	22748	18.98	-97.78	0
"Acayucan"	"Mexico"	46820	17.95	-94.92	0
"Accra"	"Ghana"	2029143	5.56	-0.2	1
"Accrington"	"UK"	35308	53.76	-2.39	0
"Acegua"	"Uruguay"	1509	-31.87	-54.2	0
"Acerra"	"Italy"	51394	41	14.39	0
"Acevedo"	"Colombia"	4633	1.82	-75.9	0
"Achacachi"	"Bolivia"	8678	-16.05	-68.69	0
"Achajur"	"Armenia"	3855	40.99	45.15	0
"Achalpur"	"India"	112173	21.26	77.5	0
"Acheleia"	"Cyprus"	120	34.74	32.49	0
"Acheng"	"China"	144985	45.54	126.96	0
"Acheres"	"France"	23219	48.97	2.06	0
"Acheritou"	"Cyprus"	1738	35.1	33.86	0
"Achern"	"Germany"	24637	48.63	8.08	0
"Achi"	"Colombia"	8668	8.57	-74.56	0
"Achim"	"Germany"	30109	53.04	9.01	0
"Achinsk"	"Russia"	117294	56.28	90.5	0
"Achiotal"	"Honduras"	1248	14.08	-88.75	0
"Achisay"	"Kazakhstan"	5705	43.54	68.9	0
"Achkhoy-Martan"	"Russia"	16797	43.19	45.29	0
"Achna"	"Cyprus"	2063	35.06	33.78	0
"Achuapa"	"Nicaragua"	3340	13.05	-86.58	0
"Achutupo"	"Panama"	1781	9.2	-77.98	0
"Aci Castello"	"Italy"	17930	37.56	15.13	0
"Aci Catena"	"Italy"	28459	37.6	15.14	0
"Aci Sant'Antonio"	"Italy"	17566	37.6	15.11	0
"Acigol"	"Turkey"	6747	38.55	34.51	0
"Acin"	"Afghanistan"	15423	34.12	70.7	0
"Acipayam"	"Turkey"	11114	37.43	29.35	0
"Acireale"	"Italy"	53476	37.62	15.17	0
"Acobamba"	"Peru"	7222	-12.88	-74.57	0
"Acolla"	"Peru"	6864	-11.73	-75.57	0
"Aconibe"	"Equatorial Guinea"	11893	1.3	10.93	0
"Acopiara"	"Brazil"	24942	-6.1	-39.46	0
"Acoua"	"Mayotte"	5447	-12.72	45.06	0
"Acoyapa"	"Nicaragua"	10887	11.97	-85.17	0
"Acquarossa"	"Switzerland"	1819	46.45	8.95	0
"Acquaviva"	"San Marino"	1554	43.95	12.41	0
"Acquaviva delle Fonti"	"Italy"	21555	40.89	16.84	0
"Acqui Terme"	"Italy"	20634	44.68	8.46	0
"Acri"	"Italy"	21484	39.49	16.38	0
"Acs"	"Hungary"	7161	47.7	18.02	0
"Acton"	"Canada"	8308	43.63	-80.03	0
"Acton Vale"	"Canada"	5153	45.63	-72.57	0
"Actopan"	"Mexico"	26954	20.27	-98.93	0
"Acu"	"Brazil"	36421	-5.58	-36.91	0
"Acuautla"	"Mexico"	22367	19.33	-98.85	0
"Acul-Samedi"	"Haiti"	772	19.52	-71.88	0
"Acul-du-Nord"	"Haiti"	3492	19.68	-72.32	0
"Acuna"	"Mexico"	153342	29.32	-100.94	0
"Acurenam"	"Equatorial Guinea"	2732	1.03	10.66	0
"Ada"	"Serbia"	10160	45.8	20.13	0
"Adacs"	"Hungary"	2876	47.71	19.96	0
"Adalsbruk"	"Norway"	555	60.78	11.3	0
"Adam"	"Oman"	17488	22.38	57.53	0
"Adamantina"	"Brazil"	31205	-21.68	-51.08	0
"Adamas"	"Greece"	1501	36.73	24.43	0
"Adamov"	"Czech Republic"	4814	49.32	16.66	0
"Adamovec"	"Croatia"	990	45.9	16.17	0
"Adamstown"	"Pitcairn"	51	-25.05	-130.1	1
"Adamus"	"Romania"	5873	46.3	24.23	0
"Adana"	"Turkey"	1271894	37	35.32	0
"Adancata"	"Romania"	7762	47.73	26.3	0
"Adand"	"Hungary"	2295	46.85	18.17	0
"Adani"	"Nigeria"	6274	6.73	7.02	0
"Adapazari"	"Turkey"	286924	40.79	30.41	0
"Adar"	"Jordan"	4510	31.2	35.77	0
"Adaufe"	"Portugal"	3828	41.58	-8.39	0
"Adavere"	"Estonia"	643	58.71	25.9	0
"Addi Ark'ay"	"Ethiopia"	4999	13.45	38.06	0
"Addi K'eyih"	"Eritrea"	13264	14.85	39.37	0
"Addi Kwala"	"Eritrea"	6860	14.64	38.83	0
"Addi Ugri"	"Eritrea"	18032	14.89	38.82	0
"Addigrat"	"Ethiopia"	88342	14.28	39.47	0
"Addis 'Alem"	"Ethiopia"	10088	9.04	38.39	0
"Addis Abeba"	"Ethiopia"	2823167	9.03	38.74	1
"Addis Zemen"	"Ethiopia"	23416	12.12	37.78	0
"Addlestone"	"UK"	15048	51.37	-0.48	0
"Adeje"	"Canary Islands"	37395	28.13	-16.73	0
"Adel Bagrou"	"Mauritania"	14247	15.57	-7.12	0
"Adelaide"	"Australia"	1076969	-34.93	138.6	0
"Adelaide"	"South Africa"	12222	-32.7	26.29	0
"Adelboden"	"Switzerland"	3533	46.48	7.57	0
"Adelfia"	"Italy"	17191	41	16.86	0
"Aden"	"Yemen"	625361	12.79	45.03	0
"Adendron"	"Greece"	2318	40.67	22.6	0
"Adet"	"Ethiopia"	24262	11.27	37.48	0
"Adiake"	"Ivory Coast"	17004	5.28	-3.3	0
"Adigeni"	"Georgia"	1300	41.69	42.71	0
"Adilabad"	"India"	121168	19.68	78.53	0
"Adilcevaz"	"Turkey"	56412	38.81	42.74	0
"Adilpur"	"Pakistan"	8454	27.94	69.31	0
"Adityapur"	"India"	145045	22.8	86.04	0
"Adiwerna"	"Indonesia"	138243	-6.93	109.12	0
"Adiyaman"	"Turkey"	234015	37.77	38.28	0
"Adjud"	"Romania"	17147	46.1	27.18	0
"Adjumani"	"Uganda"	29470	3.38	31.79	0
"Adjuntas"	"Puerto Rico"	5099	18.17	-66.72	0
"Adligenswil"	"Switzerland"	5683	47.07	8.37	0
"Adliswil"	"Switzerland"	15937	47.32	8.51	0
"Ado"	"Nigeria"	284384	7.67	5.27	0
"Ado Odo"	"Nigeria"	15710	6.58	2.94	0
"Adolfo Lopez Mateos"	"Mexico"	8911	28.47	-107.3	0
"Adolfo Ruiz Cortines"	"Mexico"	13043	25.75	-108.75	0
"Adoni"	"India"	165441	15.63	77.27	0
"Adony"	"Hungary"	3810	47.13	18.87	0
"Adoru"	"Nigeria"	8387	6.98	7.17	0
"Adra"	"Spain"	22900	36.76	-3.02	0
"Adrano"	"Italy"	36131	37.67	14.83	0
"Adrar"	"Algeria"	93487	27.87	-0.29	0
"Adrasmon"	"Tajikistan"	13532	40.64	69.98	0
"Adre"	"Chad"	12196	13.47	22.2	0
"Adria"	"Italy"	20662	45.06	12.05	0
"Adriani"	"Greece"	1376	41.13	24.27	0
"Adunatii-Copaceni"	"Romania"	6548	44.27	26.07	0
"Adwa"	"Ethiopia"	45823	14.19	38.88	0
"Adzope"	"Ivory Coast"	63654	6.1	-3.87	0
"Ae"	"Marshall Islands"	7	5.87	169.52	0
"Aegviidu"	"Estonia"	902	59.29	25.61	0
"Aesch"	"Switzerland"	10210	47.47	7.6	0
"Aespa"	"Estonia"	189	59.2	24.66	0
"Aetsa"	"Finland"	4912	61.28	22.68	0
"Aewol"	"Korea South"	24095	33.47	126.32	0
"Afaahiti"	"French Polynesia"	5441	-17.74	-149.27	0
"Afantou"	"Greece"	5577	36.3	28.15	0
"Afareaitu"	"French Polynesia"	3306	-17.54	-149.77	0
"Afega"	"Samoa"	1934	-13.79	-171.82	0
"Affeltrangen"	"Switzerland"	2132	47.52	9.03	0
"Affery"	"Ivory Coast"	30765	6.32	-3.95	0
"Affoltern"	"Switzerland"	10316	47.29	8.44	0
"Afgoye"	"Somalia"	66769	2.14	45.12	0
"Afidnai"	"Greece"	2165	38.22	23.83	0
"Afikpo"	"Nigeria"	73875	5.9	7.93	0
"Afipskiy"	"Russia"	18296	44.9	38.84	0
"Afitos"	"Greece"	1482	40.1	23.43	0
"Aflao"	"Ghana"	47341	6.11	1.12	0
"Aflu"	"Algeria"	89116	34.12	2.09	0
"Afmadu"	"Somalia"	12178	0.52	42.06	0
"Afogados da Ingazeira"	"Brazil"	25448	-7.75	-37.64	0
"Afono"	"American Samoa"	526	-14.26	-170.65	0
"Afragola"	"Italy"	63872	40.93	14.3	0
"Afration"	"Greece"	1360	38.45	23.68	0
"Afsin"	"Turkey"	40365	38.26	36.92	0
"Afumati"	"Romania"	6721	44.52	26.27	0
"Afyonkarahisar"	"Turkey"	149769	38.77	30.54	0
"Agacoren"	"Turkey"	5999	38.87	33.92	0
"Agadez"	"Niger"	91600	17	7.98	0
"Agadir"	"Morocco"	718498	30.42	-9.61	0
"Agadyr"	"Kazakhstan"	9505	48.28	72.86	0
"Agaie"	"Nigeria"	12009	9.02	6.31	0
"Agalteca"	"Honduras"	1027	14.45	-87.27	0
"Agana"	"Guam"	1041	13.47	144.75	1
"Agana Heights"	"Guam"	3828	13.47	144.74	0
"Agana Station"	"Guam"	1041	13.48	144.79	0
"Agara"	"Georgia"	5752	42.04	43.81	0
"Agarak"	"Armenia"	1272	41.01	44.47	0
"Agarak"	"Armenia"	1567	40.33	44.07	0
"Agarak"	"Armenia"	4685	39.22	46.55	0
"Agarakadzor"	"Armenia"	1190	39.74	45.35	0
"Agaro"	"Ethiopia"	28701	7.85	36.65	0
"Agartala"	"India"	206666	23.84	91.27	0
"Agas"	"Romania"	6589	46.48	26.22	0
"Agasegyhaza"	"Hungary"	1893	46.84	19.45	0
"Agat"	"Guam"	4450	13.38	144.65	0
"Agbabu"	"Nigeria"	8752	6.58	4.83	0
"Agbor"	"Nigeria"	68942	6.26	6.19	0
"Agboville"	"Ivory Coast"	84109	5.94	-4.28	0
"Agcabedi"	"Azerbaijan"	35421	40.05	47.44	0
"Agdam"	"Azerbaijan"	40123	39.99	46.92	0
"Agdas"	"Azerbaijan"	23752	40.65	47.46	0
"Agde"	"France"	23477	43.33	3.46	0
"Agdere"	"Azerbaijan"	10158	40.22	46.8	0
